Sample_ID,Locus,Type,Well,Timepoint,Replicate,PE1_index,RC_for_index,RC_rev_index,PE2_index
168,TRL1,CAN1,H5,Plating,2,3,8,5,3
169,TRL1,CAN1,I5,can_recov,1,3,9,5,3
170,TRL1,CAN1,J5,can_recov,2,3,10,5,3
171,PSE1,CAN1,A6,T0,1,3,1,6,3
172,PSE1,CAN1,B6,T0,2,3,2,6,3
173,PSE1,CAN1,C6,T6,1,3,3,6,3
174,PSE1,CAN1,D6,T6,2,3,4,6,3
175,PSE1,CAN1,E6,T12,1,3,5,6,3
176,PSE1,CAN1,F6,T12,2,3,6,6,3
177,PSE1,CAN1,G6,Plating,1,3,7,6,3
178,PSE1,CAN1,H6,Plating,2,3,8,6,3
179,PSE1,CAN1,I6,can_recov,1,3,9,6,3
180,PSE1,CAN1,J6,can_recov,2,3,10,6,3
181,ERO1,CAN1,A7,T0,1,3,1,7,3
182,ERO1,CAN1,B7,T0,2,3,2,7,3
183,ERO1,CAN1,C7,T6,1,3,3,7,3
184,ERO1,CAN1,D7,T6,2,3,4,7,3
185,ERO1,CAN1,E7,T12,1,3,5,7,3
186,ERO1,CAN1,F7,T12,2,3,6,7,3
187,ERO1,CAN1,G7,Plating,1,3,7,7,3
188,ERO1,CAN1,H7,Plating,2,3,8,7,3
189,ERO1,CAN1,I7,can_recov,1,3,9,7,3
190,ERO1,CAN1,J7,can_recov,2,3,10,7,3
191,CDC11,CAN1,A8,T0,1,3,1,8,3
192,CDC11,CAN1,B8,T0,2,3,2,8,3
193,CDC11,CAN1,C8,T6,1,3,3,8,3
194,CDC11,CAN1,D8,T6,2,3,4,8,3
195,CDC11,CAN1,E8,T12,1,3,5,8,3
196,CDC11,CAN1,F8,T12,2,3,6,8,3
197,CDC11,CAN1,G8,Plating,1,3,7,8,3
198,CDC11,CAN1,H8,Plating,2,3,8,8,3
199,CDC11,CAN1,I8,can_recov,1,3,9,8,3
200,CDC11,CAN1,J8,can_recov,2,3,10,8,3
201,MCM6,CAN1,A9,T0,1,3,1,9,3
202,MCM6,CAN1,B9,T0,2,3,2,9,3
203,MCM6,CAN1,C9,T6,1,3,3,9,3
204,MCM6,CAN1,D9,T6,2,3,4,9,3
205,MCM6,CAN1,E9,T12,1,3,5,9,3
206,MCM6,CAN1,F9,T12,2,3,6,9,3
207,MCM6,CAN1,G9,Plating,1,3,7,9,3
208,MCM6,CAN1,H9,Plating,2,3,8,9,3
209,MCM6,CAN1,I9,can_recov,1,3,9,9,3
